projection screen, 253 207 119 84 
ceiling, 255 0 87 1 
window, 29 0 126 87 
window, 106 47 124 89 
window, 153 118 120 94 
window, 179 158 118 98 
rows chairs tables, 255 1 255 117 
desk, 235 75 256 205 
desk, 84 0 205 168 
desk, 145 71 176 155 
desk, 255 157 213 175 
desk, 76 29 156 144 
desk, 36 3 144 137 
desk, 255 196 178 161 
desk, 179 118 161 147 
desk, 113 71 147 138 
desk, 202 144 156 140 
desk, 255 218 162 150 
chair, 69 14 255 193 
chair, 196 162 236 186 
chair, 239 196 252 197 
chair, 165 147 185 155 
chair, 126 102 206 166 
chair, 188 171 162 148 
chair top, 223 199 185 166 
chair top, 255 228 193 171 
chair top, 144 131 164 151 
chair top, 128 116 162 151 
chair top, 101 84 183 164 
chair top, 84 70 178 159 
chair top, 27 3 232 182 
chair top, 242 221 163 153 
chair top, 252 236 153 146 
chair top, 170 157 152 145 
chair top, 155 142 150 144 
row of chairs, 98 68 154 141 
row of chairs, 211 169 152 138 
row of chairs, 128 100 147 137 
row of chairs, 87 27 138 126 
row of chairs, 111 91 135 129 
row of desks, 254 170 152 121 
row of desks, 230 104 142 119 
row of desks, 193 95 134 116 
podium, 234 220 119 112 
ceiling lamp, 61 17 16 0 
ceiling lamp, 151 32 56 18 
ceiling lamp, 150 95 23 0 
ceiling lamp, 233 158 27 0 
