bottle, 12 2 40 0 
bottle, 27 13 41 1 
bottle, 43 28 41 0 
bottle, 57 43 41 0 
bottle, 74 57 41 0 
bottle, 92 74 41 1 
bottle, 110 93 42 0 
bottle, 126 110 42 0 
bottle, 141 126 42 0 
bottle, 158 141 42 1 
bottle, 175 159 42 1 
bottle, 191 174 42 1 
bottle, 208 192 43 0 
bottle, 224 209 43 0 
bottle, 240 224 43 1 
bottle, 258 241 43 0 
bottle, 20 6 200 154 
bottle, 78 63 200 147 
bottle, 47 32 200 143 
bottle, 96 79 200 162 
bottle, 114 97 200 154 
bottle, 133 115 200 157 
bottle, 154 134 200 157 
bottle, 169 153 200 155 
bottle, 188 170 200 163 
bottle, 211 189 200 169 
bottle, 233 213 200 167 
bottle, 255 233 200 167 
bottle, 33 20 200 135 
person occluded, 138 57 174 75 
shelf, 266 0 59 41 
bottle crop, 266 259 43 0 
glass, 169 154 86 57 
glass, 191 173 98 58 
glass, 212 191 99 58 
glass, 233 213 100 58 
glass, 151 135 91 58 
glass, 133 114 89 57 
glasses, 40 17 96 56 
glasses, 252 229 99 60 
botte, 63 47 200 148 
